汽车用品,维修保养,润滑油/机油,类别,汽机油,
,,,,柴机油,
,,,,摩托车机油,
,,,,刹车油,
,,,,变速箱油,
,,,,齿轮油,
,,,,金属养护,
,,,粘稠度/汽油机油标号,5W-40,
,,,,0W-40,
,,,,5W-30,
,,,,10W-40,
,,,,15W-40,
,,,,20W-40,
,,,机油等级/机油级别,SN,
,,,,SM,
,,,,SL,
,,,,SJ,
,,,机油分类,全合成机油,
,,,,半合成机油,
,,,,矿物质机油,
,,,净值含量,1L,
,,,,4L,
,,添加剂,类别,汽油添加剂,
,,,,机油添加剂,
,,,,柴油添加剂,
,,,,变速箱添加剂,
,,,功能/车用点烟器分类,多功能型,
,,,,节油型,
,,,,养护清洗型,
,,,形状,固体,
,,,,液体,
,,,净含量,50ml以下,
,,,,50mL(含)-100mL(含),
,,,,100mL(含)-500mL(含),
,,,,500mL以上,
,,防冻剂,冰点,-25℃,
,,,,-30℃,
,,,,-35℃,
,,,,-37℃,
,,,,-40℃,
,,,,-45℃,
,,滤清器,类别,滤清器套装,
,,,,机油滤清器,
,,,,空气滤清器,
,,,,空调滤清器,
,,,,燃油滤清器,
,,火花塞,包装,单支装,
,,,,四支装,
,,,,六支装,
,,,材料,双铱金火花塞（针对针）,
,,,,依铂金火花塞,
,,,,双铂金火花塞,
,,,,铂金火花塞,
,,,,镍合金火花塞,
,,,,普通合金火花塞,
,,,产品类型,火花塞,
,,,,点火线圈,
,,,,高压线,
,,雨刷,包装,专车套装,
,,,,单支装,
,,,接口,U型接口,
,,,,四合一或专用接口,
,,,架构,有骨,
,,,,无骨,
,,车灯,类型,卤素灯,
,,,,升级灯泡,
,,,,氙气灯,
,,,,日间行车灯,
,,,,信号灯,
,,,,室内灯,
,,,,改装大灯总成,
,,,,辅助车灯,
,,,,灯类应急包,
,,,,尾灯总成,
,,,,雾灯总成,
,,,型号,H1,
,,,,H3,
,,,,H4,
,,,,H7,
,,,,H9,
,,,,H11,
,,,,T10,
,,,,9005,
,,,,9006,
,,后视镜,类型,内后视镜,
,,,,外后视镜,
,,,,小圆镜,
,,,,后视镜雨挡,
,,,,多功能后视镜,
,,轮胎,尺寸,12寸,
,,,,13寸,
,,,,14寸,
,,,,15寸,
,,,,16寸,
,,,,17寸,
,,,,18寸,
,,,,19寸,
,,,,20寸,
,,,,21寸,
,,,,22寸,
